trip_res_name,restaurant_name,link,avg_rating,category,avgerage_cost,review_count,location
Al Bawadi Restaurant,Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview,4.4,['Middle Eastern'],25.0,85,"7216 W 87th Street, Bridgeview 60455"
The Patio,The Patio,https://www.zomato.com/chicago/the-patio-bridgeview,3.6,"['American', 'BBQ']",17.5,34,9100 South Harlem Avenue 60455
Mama Luigi's Restaurant and Banquets,Mama Luigi's Restaurant,https://www.zomato.com/chicago/mama-luigis-restaurant-bridgeview,3.0,"['Italian', 'Pizza']",22.5,10,7500 South Harlem Avenue 60455
View,The View Restaurant,https://www.zomato.com/chicago/the-view-restaurant-bridgeview,3.4,['Greek'],25.0,6,"8930 S Harlem Avenue, Bridgeview 60455"
IHOP,IHOP,https://www.zomato.com/chicago/ihop-bridgeview,3.1,['American'],12.5,6,7240 W. 79th Street 60455
